"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","131"
">","THREAD_COUNT:","10"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","-704"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","704"
">","EXTENTS_BOTTOM:","705"
">","EXTENTS_WIDTH:","1408"
">","EXTENTS_HEIGHT:","705"
">","COMMAND_JUMP","37"
">","COMMAND_STITCH","80"
">","COMMAND_TRIM","3"
">","COMMAND_COLOR_CHANGE","10"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","0","0"
"*","1","STITCH","699","429"
"*","2","STITCH","699","424"
"*","3","STITCH","689","429"
"*","4","STITCH","699","429"
"*","5","STITCH","649","429"
"*","6","STITCH","599","429"
"*","7","STITCH","549","429"
"*","8","STITCH","499","429"
"*","9","STITCH","449","429"
"*","10","STITCH","399","429"
"*","11","STITCH","349","429"
"*","12","STITCH","299","429"
"*","13","STITCH","249","429"
"*","14","STITCH","199","429"
"*","15","STITCH","149","429"
"*","16","STITCH","99","429"
"*","17","STITCH","49","429"
"*","18","STITCH","0","429"
"*","19","STITCH","-49","429"
"*","20","STITCH","-99","429"
"*","21","STITCH","-149","429"
"*","22","STITCH","-199","429"
"*","23","STITCH","-249","429"
"*","24","STITCH","-299","429"
"*","25","STITCH","-349","429"
"*","26","STITCH","-399","429"
"*","27","STITCH","-449","429"
"*","28","STITCH","-499","429"
"*","29","STITCH","-549","429"
"*","30","STITCH","-599","429"
"*","31","STITCH","-649","429"
"*","32","STITCH","-699","430"
"*","33","STITCH","-699","435"
"*","34","STITCH","-689","430"
"*","35","STITCH","-699","430"
"*","36","TRIM","-699","430"
"*","37","JUMP","-700","490"
"*","38","COLOR_CHANGE","-700","490"
"*","39","COLOR_CHANGE","-700","490"
"*","40","JUMP","-680","520"
"*","41","JUMP","-650","460"
"*","42","JUMP","-630","490"
"*","43","JUMP","610","490"
"*","44","JUMP","630","520"
"*","45","JUMP","680","460"
"*","46","JUMP","700","490"
"*","47","COLOR_CHANGE","700","490"
"*","48","COLOR_CHANGE","700","490"
"*","49","JUMP","700","630"
"*","50","JUMP","680","600"
"*","51","JUMP","630","660"
"*","52","JUMP","608","630"
"*","53","JUMP","-630","630"
"*","54","JUMP","-650","600"
"*","55","JUMP","-680","660"
"*","56","JUMP","-700","630"
"*","57","COLOR_CHANGE","-700","630"
"*","58","COLOR_CHANGE","-700","630"
"*","59","STITCH","-700","560"
"*","60","STITCH","-704","562"
"*","61","STITCH","-694","568"
"*","62","STITCH","-700","560"
"*","63","STITCH","-680","590"
"*","64","STITCH","-650","530"
"*","65","STITCH","-630","560"
"*","66","STITCH","-620","560"
"*","67","STITCH","-640","560"
"*","68","STITCH","-630","560"
"*","69","JUMP","-517","560"
"*","70","JUMP","-404","560"
"*","71","JUMP","-291","560"
"*","72","JUMP","-179","560"
"*","73","JUMP","-66","560"
"*","74","JUMP","46","560"
"*","75","JUMP","159","560"
"*","76","JUMP","271","560"
"*","77","JUMP","384","560"
"*","78","JUMP","497","560"
"*","79","STITCH","610","560"
"*","80","STITCH","620","560"
"*","81","STITCH","600","560"
"*","82","STITCH","610","560"
"*","83","STITCH","630","590"
"*","84","STITCH","680","530"
"*","85","STITCH","700","560"
"*","86","STITCH","704","557"
"*","87","STITCH","694","551"
"*","88","STITCH","700","560"
"*","89","TRIM","700","560"
"*","90","COLOR_CHANGE","700","560"
"*","91","COLOR_CHANGE","700","560"
"*","92","STITCH","700","700"
"*","93","STITCH","700","695"
"*","94","STITCH","690","700"
"*","95","STITCH","700","700"
"*","96","STITCH","680","700"
"*","97","STITCH","670","700"
"*","98","STITCH","660","700"
"*","99","STITCH","640","700"
"*","100","STITCH","630","700"
"*","101","STITCH","650","700"
"*","102","STITCH","640","700"
"*","103","JUMP","519","700"
"*","104","JUMP","398","700"
"*","105","JUMP","277","700"
"*","106","JUMP","156","700"
"*","107","JUMP","35","700"
"*","108","JUMP","-86","700"
"*","109","JUMP","-207","700"
"*","110","JUMP","-328","700"
"*","111","STITCH","-449","700"
"*","112","STITCH","-459","700"
"*","113","STITCH","-439","700"
"*","114","STITCH","-449","700"
"*","115","JUMP","-549","700"
"*","116","STITCH","-650","700"
"*","117","STITCH","-660","700"
"*","118","STITCH","-640","700"
"*","119","STITCH","-650","700"
"*","120","STITCH","-660","700"
"*","121","STITCH","-669","700"
"*","122","STITCH","-700","700"
"*","123","STITCH","-700","705"
"*","124","STITCH","-690","700"
"*","125","STITCH","-700","700"
"*","126","TRIM","-700","700"
"*","127","COLOR_CHANGE","-700","700"
"*","128","COLOR_CHANGE","-700","700"
"*","129","JUMP","0","0"
"*","130","END","0","0"
